delta,group,gt_area,iou1,iou2,iou3,key,scene,top1_area_over_gt,union3_area_over_gt,union3_intrusion_other_gt_fraction,variant,view
0.0,unseen,622,0.49770431588613406,0.06006760019314341,0.0354618015963512,20017,scene0695_00,1.6221864951768488,28.19935691318328,0.0,g0_step6000,3
0.0,training,94,0.02050034746351633,0.012127410870835768,0.009140969162995595,8059,scene0000_02,30.24468085106383,96.47872340425532,0.0,g0_step6000,2
0.0,training,256,0.041727791361043196,0.012149399648806417,0.010521124445175079,8059,scene0000_02,23.96484375,95.046875,0.0,g0_step6000,3
0.0,training,501,0.02895130202187082,0.025081788440567066,0.018549322042441654,8049,scene0016_01,25.105788423153694,39.333333333333336,0.0,g0_step6000,2
0.0,training,132,0.03257650542941757,0.021952436387826377,0.011806797853309481,14030,scene0016_01,30.696969696969695,84.6969696969697,0.0,g0_step6000,2
0.0,training,264,0.018619212390838687,0.016469902346596708,0.012160344363734194,8049,scene0016_01,45.833333333333336,70.25378787878788,0.0,g0_step6000,3
0.0,training,78,0.020695144600689837,0.014571268447599477,0.007635082223962412,14030,scene0016_01,48.32051282051282,130.97435897435898,0.0,g0_step6000,3
0.0,training,10749,0.18858396456806986,0.18858396456806986,0.18858396456806986,8006,scene0007_00,1.6714112940738672,1.6714112940738672,0.22247578759879774,g0_step6000,3
0.0,training,9352,0.17139059217014707,0.17139059217014707,0.17139059217014707,8024,scene0007_00,1.9210863986313087,1.9210863986313087,0.2535901146610264,g0_step6000,3
0.0,training,1293,0.42560895325872283,0.23931149361465853,0.07305910272347158,5002,scene0012_01,2.3495746326372777,13.68754833720031,0.5769013447847214,g0_step6000,2
0.017207249200824018,training,4193,0.11348937480751463,0.13069662400833865,0.11495365182846083,8001,scene0012_01,0.7245409015025042,4.220844264249941,0.5224319132105323,g0_step6000,2
0.0974643454819798,training,7755,0.13687272727272728,0.19636363636363635,0.23433707275470708,8017,scene0012_01,1.0157317859445518,1.4261766602192134,0.0,g0_step6000,2
0.18623946861958607,training,20535,0.2750009709114917,0.4203600414147824,0.4612404395310778,8019,scene0012_01,0.5987338690041393,1.1305575846116387,0.07964334941419711,g0_step6000,2
0.0,training,332,0.03391752577319588,0.0272689598010775,0.013505747126436781,8020,scene0012_01,29.207831325301203,73.3644578313253,0.6149361579833312,g0_step6000,2
0.0,training,4838,0.3498233215547703,0.17265038149878748,0.1508293287862347,8001,scene0012_01,0.4212484497726333,3.603555188094254,0.5220259263508088,g0_step6000,3
0.0,training,1497,0.12880143112701253,0.07596931086450198,0.06506688570758037,8017,scene0012_01,4.901135604542418,11.12625250501002,0.0,g0_step6000,3
0.20683823362468207,training,27870,0.28692581733345945,0.3949523605609678,0.4937640509581415,8019,scene0012_01,0.4646573376390384,1.0026193039110154,0.056150019682925954,g0_step6000,3
0.0,training,433,0.038223323305609624,0.03142275240034914,0.016180987339875646,8020,scene0012_01,26.099307159353348,61.65588914549654,0.5953477918867288,g0_step6000,3
0.0,training,323,0.0297045101088647,0.02511514730164248,0.02307938029068839,18009,scene0009_00,19.4984520123839,38.6625386996904,0.0,g0_step6000,2
0.038812081024081596,training,12236,0.22432,0.2631320810240816,0.22648487925157734,20017,scene0009_00,0.2507355344883949,1.7643020594965675,0.0,g0_step6000,2
